5
C1 I true
C2 I true
C3 C10 true
C4 I true
C5 I true
2
X4 false 1A 2A 
X5 false 2A 3A 
50
  1          1        101 V       1001        18 
  2          2        102 W       1002        182 
  3          3        103 X       1003        183 
  4          4        104 Y       1004        184 
  5          5        105 Z       1005        185 
  6          6        106 W       1006        186 
  7          7        107 X       1007        187 
  8          8        108 Y       1008        188 
  9          9        109 Z       1009        189 
 10         10        110 Z       1010        190 
 11         11        1   Y       1011        191 
 12         12        112 X       1012        192 
 13         13        113 W       1013        193 
 14         14        114 V       1014        194 
 15         15        115 V       1015        195 
 16         16        116 W       1016        196 
 17         17        117 X       1017        197 
 18         18        118 Y       1018        198 
 19         19        119 Z       1019        199 
 20         20        120 Z       1020        200 
 21         21        101 Y       1021        18 
 22         22        1   X       1022        182 
 23         23        104 V       1023        183 
 24         24        106 W       1024        184 
 25         25        110 V       1025        185 
 26         26        106 W       1010        186 
 27         27        102 X       1021        187 
 28         28        103 Y       1001        188 
 29         29        103 Z       1001        189 
 30         30        108 Z       1001        190 
 31         31        109 Y       1005        191 
 32         32        107 X       1005        192 
 33         33        119 W       1004        193 
 34         34        118 V       1011        194 
 35         35        117 V       1016        195 
 36         36        116 W       1017        196 
 37         37        112 X       1021        197 
 38         38        114 Y       1012        198 
 39         39        120 Z       1019        199 
 40         40        118 V       1004        200 
 41         41        106 W       1008        18 
 42         42        107 X       1009        182 
 43         43        108 Y       1016        183 
 44         44        109 Z       1018        184 
 45         45        110 Z       1014        185 
 46         46        110 Y       1025        186 
 47         47        112 X       1024        187 
 48         48        117 W       1023        188 
 49         49        120 V       1010        189 
 50         50        101 V       1002        190 
STATS TABCARD 50
STATS COLCARD 0 50 50 1
STATS COLCARD 1 20 120 1
STATS COLCARD 2 5 Z V
STATS COLCARD 3 25 1025 1001
STATS COLCARD 4 20 200 18
